subject	task_experience_response	task_experience_other_response	open_ended_feedback_response
59a07638bfd73c00010ea394	No	NA	NA
5dee933631a7e05381da6b02	No	NA	NA
5e5731e3e1e8b90e25c1f3a2	No	NA	NA
612d20ea1043719545f90f62	No	NA	NA
62b9cf42a63194f71fc0a393	No	NA	NA
630ab689392291ba70d7fd3d	No	NA	NA
631b593a9bb21bb86ea260a7	No	NA	NA
633d9eb9721ed1d1b6df11af	Yes	Owen	NA
63616c4bc6ecb76a9f0a5f21	No	NA	this was a fun experiment. I enjoyed testing my reaction time. it would be interesting to know which hand I did better with.
